#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
25914031|2021-01-10T10:37:56.660000|43.9588|13.0433|7.8|BULLETIN-INGV||||ML|2.3|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
25915491|2021-01-11T02:24:36.850000|44.1735|10.6838|13.0|BULLETIN-INGV||||ML|2.6|--|3 km E Fiumalbo (MO)|earthquake
25918521|2021-01-12T08:55:26.870000|44.1908|10.7678|50.7|BULLETIN-INGV||||ML|2.2|--|3 km SW Fanano (MO)|earthquake
25942731|2021-01-18T14:04:22.490000|43.9247|13.3822|7.9|BULLETIN-INGV||||ML|2.2|--|Costa Marchigiana Anconetana (Ancona)|earthquake
25985181|2021-01-24T20:33:03.130000|44.0108|11.1668|9.2|BULLETIN-INGV||||ML|2.1|--|5 km S Vernio (PO)|earthquake
26033151|2021-02-04T00:08:44.350000|43.8313|12.0817|8.8|BULLETIN-INGV||||ML|2.3|--|7 km NE Verghereto (FC)|earthquake
26036821|2021-02-05T07:29:39.940000|43.8385|12.0807|9.7|BULLETIN-INGV||||ML|2.0|--|8 km NE Verghereto (FC)|earthquake
26048811|2021-02-08T05:15:06.100000|44.087|10.9962|57.2|BULLETIN-INGV||||ML|2.3|--|2 km S Sambuca Pistoiese (PT)|earthquake
26055311|2021-02-08T20:36:08.090000|43.7822|12.1442|9.0|BULLETIN-INGV||||ML|2.2|--|1 km SW Casteldelci (RN)|earthquake
26055681|2021-02-08T22:13:43.710000|43.7777|12.1317|9.4|BULLETIN-INGV||||ML|2.2|--|3 km SW Casteldelci (RN)|earthquake
26078731|2021-02-12T10:04:18.600000|43.681|12.2037|10.3|BULLETIN-INGV||||ML|2.0|--|3 km SE Badia Tedalda (AR)|earthquake
26103231|2021-02-17T01:29:06.390000|44.4925|11.5955|35.7|BULLETIN-INGV||||ML|2.6|--|4 km W Medicina (BO)|earthquake
26107821|2021-02-17T20:18:30.500000|44.0958|8.0483|7.2|BULLETIN-INGV||||ML|2.3|--|3 km SE Nasino (SV)|earthquake
26118671|2021-02-20T14:55:55.380000|43.9722|11.4273|7.5|BULLETIN-INGV||||ML|3.1|--|4 km NE Borgo San Lorenzo (FI)|earthquake
26120291|2021-02-21T03:34:10.300000|43.8952|11.993|7.1|BULLETIN-INGV||||ML|2.2|--|4 km NE Bagno di Romagna (FC)|earthquake
26161501|2021-03-02T06:52:52.280000|44.1925|11.3808|8.3|BULLETIN-INGV||||ML|2.0|--|6 km SE Monghidoro (BO)|earthquake
26168591|2021-03-03T08:02:05.680000|44.0807|12.5033|35.2|BULLETIN-INGV||||ML|3.0|--|5 km E Santarcangelo di Romagna (RN)|earthquake
26189271|2021-03-06T03:39:27.910000|44.2247|9.9912|9.4|BULLETIN-INGV||||ML|2.1|--|2 km NE Aulla (MS)|earthquake
26193631|2021-03-07T04:22:29.570000|44.3795|10.7768|22.6|BULLETIN-INGV||||ML|2.6|--|5 km S Serramazzoni (MO)|earthquake
26198011|2021-03-08T01:02:16.040000|43.6217|11.003|7.8|BULLETIN-INGV||||ML|2.0|--|3 km NE Castelfiorentino (FI)|earthquake
26206961|2021-03-09T23:47:36.020000|44.1975|11.5358|25.3|BULLETIN-INGV||||ML|2.1|--|3 km SE Castel del Rio (BO)|earthquake
26238351|2021-03-14T11:47:52.010000|44.0813|11.3702|10.6|BULLETIN-INGV||||ML|2.0|--|4 km S Firenzuola (FI)|earthquake
26242631|2021-03-15T04:58:26.170000|44.3823|11.389|27.6|BULLETIN-INGV||||ML|2.1|--|4 km E Pianoro (BO)|earthquake
26268661|2021-03-20T05:31:57.480000|43.6035|12.8925|37.6|BULLETIN-INGV||||ML|2.5|--|3 km S Fratte Rosa (PU)|earthquake
26303771|2021-03-24T12:43:47.720000|44.4038|10.088|11.0|BULLETIN-INGV||||ML|2.4|--|3 km W Monchio delle Corti (PR)|earthquake
26404111|2021-04-06T21:18:13.370000|44.3247|9.9223|7.8|BULLETIN-INGV||||ML|2.4|--|1 km E Mulazzo (MS)|earthquake
26412601|2021-04-07T21:04:44.520000|44.4067|11.1253|26.3|BULLETIN-INGV||||ML|2.0|--|8 km SW Monte San Pietro (BO)|earthquake
26473861|2021-04-18T19:28:21.210000|44.1285|10.6197|11.9|BULLETIN-INGV||||ML|2.5|--|4 km W Abetone (PT)|earthquake
26494421|2021-04-22T01:46:31.870000|44.1022|11.5052|5.4|BULLETIN-INGV||||ML|2.0|--|4 km W Palazzuolo sul Senio (FI)|earthquake
