#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
33321641|2022-11-10T00:02:51.640000|43.9988|13.2302|2.5|SURVEY-INGV||||ML|2.2|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
33321691|2022-11-10T00:13:04.840000|43.9363|13.3138|7.8|SURVEY-INGV||||ML|2.4|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
33321821|2022-11-10T00:32:24.710000|43.9257|13.3298|7.7|SURVEY-INGV||||ML|1.6|--|Costa Marchigiana Anconetana (Ancona)|earthquake
33321971|2022-11-10T01:02:07.040000|44.0318|13.3393|10.0|SURVEY-INGV||||ML|2.1|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
33322211|2022-11-10T01:43:03.050000|43.9435|13.3362|4.8|SURVEY-INGV||||ML|2.8|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
33322291|2022-11-10T01:44:40.990000|43.9997|13.2853|7.8|SURVEY-INGV||||ML|1.9|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
33322351|2022-11-10T02:14:36.060000|43.9397|13.299|9.1|SURVEY-INGV||||ML|2.0|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
33322461|2022-11-10T02:44:02.200000|43.907|13.3603|7.7|SURVEY-INGV||||ML|2.1|--|Costa Marchigiana Anconetana (Ancona)|earthquake
33322971|2022-11-10T03:35:34.250000|44.0692|13.2917|12.0|SURVEY-INGV||||ML|2.0|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
33323171|2022-11-10T03:44:58.910000|43.9397|13.3263|4.9|SURVEY-INGV||||ML|1.5|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
33323501|2022-11-10T05:22:37.740000|43.9677|13.3213|6.3|SURVEY-INGV||||ML|1.9|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
33324781|2022-11-10T07:40:43.990000|43.9177|13.3498|7.0|SURVEY-INGV||||ML|2.0|--|Costa Marchigiana Anconetana (Ancona)|earthquake
33324861|2022-11-10T07:47:18.320000|44.1913|13.2122|10.0|SURVEY-INGV||||ML|2.1|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
33325151|2022-11-10T08:05:47.380000|44.2127|13.4338|10.0|SURVEY-INGV||||ML|1.8|--|Adriatico Settentrionale (MARE)|earthquake
33325201|2022-11-10T08:15:55.410000|43.9853|13.4217|10.0|SURVEY-INGV||||ML|1.6|--|Costa Marchigiana Anconetana (Ancona)|earthquake
33325761|2022-11-10T09:08:29.000000|43.9663|13.322|7.9|SURVEY-INGV||||ML|3.4|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
33325891|2022-11-10T09:14:33.000000|43.952|13.3313|11.1|SURVEY-INGV||||ML|1.4|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
33325951|2022-11-10T09:27:00.800000|43.9578|13.3647|6.3|SURVEY-INGV||||ML|2.1|--|Costa Marchigiana Anconetana (Ancona)|earthquake
33326241|2022-11-10T09:56:23.780000|43.9737|13.3242|9.1|SURVEY-INGV||||ML|1.7|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
33326301|2022-11-10T10:03:40.900000|43.906|13.3128|8.9|SURVEY-INGV||||ML|1.7|--|Costa Marchigiana Anconetana (Ancona)|earthquake
33326441|2022-11-10T10:19:34.890000|43.9472|13.3578|10.0|SURVEY-INGV||||ML|1.6|--|Costa Marchigiana Anconetana (Ancona)|earthquake
33326531|2022-11-10T10:30:44.620000|43.975|13.333|10.0|SURVEY-INGV||||ML|1.9|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
33326761|2022-11-10T10:39:49.890000|43.9318|13.301|9.8|SURVEY-INGV||||ML|2.6|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
33327041|2022-11-10T10:51:31.780000|43.9492|13.3263|8.0|SURVEY-INGV||||ML|1.7|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
33327181|2022-11-10T11:07:00.040000|43.9133|13.3367|9.1|SURVEY-INGV||||ML|3.3|--|Costa Marchigiana Anconetana (Ancona)|earthquake
33327491|2022-11-10T11:23:21.050000|43.9423|13.3285|9.1|SURVEY-INGV||||ML|2.0|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
33327671|2022-11-10T11:32:05.720000|43.9607|13.3187|7.8|SURVEY-INGV||||ML|2.1|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
33327851|2022-11-10T11:37:38.730000|43.9567|13.3295|8.7|SURVEY-INGV||||ML|3.2|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
33328041|2022-11-10T11:40:29.280000|44.0047|13.3573|34.8|SURVEY-INGV||||ML|2.2|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
33328101|2022-11-10T11:43:55.060000|43.9577|13.3368|9.4|SURVEY-INGV||||ML|2.0|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
33328171|2022-11-10T11:47:51.600000|43.9738|13.3673|9.7|SURVEY-INGV||||ML|2.1|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
33328531|2022-11-10T12:18:52.480000|43.9548|13.3748|7.7|SURVEY-INGV||||ML|2.8|--|Costa Marchigiana Anconetana (Ancona)|earthquake
33328671|2022-11-10T12:23:30.380000|43.964|13.3197|8.4|SURVEY-INGV||||ML|2.4|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
33328831|2022-11-10T12:35:52.320000|43.8782|13.3227|8.7|BULLETIN-INGV||||Mw|3.8|--|Costa Marchigiana Anconetana (Ancona)|earthquake
