#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
25915561|2021-01-11T05:51:20.210000|37.7553|15.0423|10.4|BULLETIN-INGV||||ML|2.1|--|7 km NW Milo (CT)|earthquake
25915591|2021-01-11T05:52:10.420000|37.7523|15.0515|9.3|BULLETIN-INGV||||ML|2.1|--|7 km NW Milo (CT)|earthquake
25915751|2021-01-11T06:48:23.560000|37.763|15.0642|7.7|BULLETIN-INGV||||ML|2.0|--|6 km NW Milo (CT)|earthquake
25916921|2021-01-11T19:09:25.130000|37.3607|15.7095|26.2|BULLETIN-INGV||||ML|2.1|--|Mar Ionio Meridionale (MARE)|earthquake
25917701|2021-01-12T03:31:26.190000|37.7497|15.0165|0.2|BULLETIN-INGV||||ML|2.3|--|9 km W Milo (CT)|earthquake
25917951|2021-01-12T05:20:03.740000|37.7433|15.0102|0.5|BULLETIN-INGV||||ML|2.1|--|10 km W Milo (CT)|earthquake
25919931|2021-01-12T16:38:35.190000|37.8145|14.3517|6.3|BULLETIN-INGV||||Mw|3.5|--|5 km N Sperlinga (EN)|earthquake
25920121|2021-01-12T18:35:01.060000|37.8123|14.3398|8.4|BULLETIN-INGV||||ML|2.4|--|5 km N Sperlinga (EN)|earthquake
25921431|2021-01-13T05:08:54.550000|37.7558|15.0553|9.9|BULLETIN-INGV||||ML|2.3|--|6 km NW Milo (CT)|earthquake
25921701|2021-01-13T07:18:17.770000|37.8302|14.3448|5.9|BULLETIN-INGV||||ML|2.3|--|7 km SE Castel di Lucio (ME)|earthquake
25923041|2021-01-13T14:27:48.500000|37.7545|15.0023|1.1|BULLETIN-INGV||||ML|2.2|--|11 km W Milo (CT)|earthquake
25930131|2021-01-15T12:55:47.910000|37.757|15.0077|0.9|BULLETIN-INGV||||ML|2.3|--|10 km W Milo (CT)|earthquake
25932221|2021-01-16T02:38:11.230000|37.5837|15.1023|17.1|BULLETIN-INGV||||ML|2.3|--|1 km NE San Giovanni la Punta (CT)|earthquake
25933661|2021-01-16T08:02:16.960000|37.579|15.0648|24.3|BULLETIN-INGV||||ML|2.1|--|1 km W Tremestieri Etneo (CT)|earthquake
25935121|2021-01-16T13:18:35.590000|38.3892|15.3877|115.2|BULLETIN-INGV||||ML|2.4|--|Costa Siciliana nord-orientale (Messina)|earthquake
25935901|2021-01-16T15:21:10.660000|37.8193|15.075|23.1|BULLETIN-INGV||||ML|3.1|--|7 km W Linguaglossa (CT)|earthquake
25936401|2021-01-16T17:47:37.870000|37.7507|15.0018|2.8|BULLETIN-INGV||||ML|3.3|--|11 km W Milo (CT)|earthquake
25936501|2021-01-16T18:07:33.940000|37.7558|15.0008|1.1|BULLETIN-INGV||||ML|2.5|--|11 km W Milo (CT)|earthquake
25936881|2021-01-16T21:08:14.110000|37.8185|15.0652|24.3|BULLETIN-INGV||||ML|3.1|--|7 km W Linguaglossa (CT)|earthquake
25938141|2021-01-17T07:04:05.690000|37.7032|14.95|1.6|BULLETIN-INGV||||ML|2.6|--|8 km N Ragalna (CT)|earthquake
25939771|2021-01-17T16:11:31.350000|37.9362|14.3427|26.8|BULLETIN-INGV||||ML|3.0|--|2 km W Mistretta (ME)|earthquake
25939871|2021-01-17T16:13:09.770000|37.954|14.3555|20.9|BULLETIN-INGV||||ML|2.4|--|2 km SE Reitano (ME)|earthquake
25939981|2021-01-17T16:38:20.030000|37.8265|15.0653|24.5|BULLETIN-INGV||||ML|2.3|--|7 km W Linguaglossa (CT)|earthquake
25940081|2021-01-17T17:09:30.050000|37.929|14.3387|26.4|BULLETIN-INGV||||ML|2.3|--|2 km W Mistretta (ME)|earthquake
25940121|2021-01-17T17:10:53.550000|37.9518|14.3432|23.1|BULLETIN-INGV||||ML|2.3|--|2 km S Reitano (ME)|earthquake
25940541|2021-01-17T21:23:29.490000|37.7382|15.032|8.9|BULLETIN-INGV||||ML|2.0|--|8 km W Milo (CT)|earthquake
25941021|2021-01-18T02:06:12.730000|37.8357|14.3547|3.5|BULLETIN-INGV||||ML|2.4|--|7 km SE Castel di Lucio (ME)|earthquake
25942701|2021-01-18T13:58:41.620000|37.8207|15.0687|24.5|BULLETIN-INGV||||ML|2.4|--|7 km W Linguaglossa (CT)|earthquake
25943681|2021-01-18T19:18:46.150000|37.8307|15.0667|25.4|BULLETIN-INGV||||ML|2.4|--|7 km W Linguaglossa (CT)|earthquake
25944191|2021-01-18T23:52:35.250000|37.8152|14.3503|3.7|BULLETIN-INGV||||ML|2.6|--|5 km N Sperlinga (EN)|earthquake
25944391|2021-01-19T00:38:03.130000|37.8192|14.3517|6.8|BULLETIN-INGV||||ML|2.2|--|6 km N Sperlinga (EN)|earthquake
25948101|2021-01-19T21:15:07.980000|38.2855|12.9075|5.3|BULLETIN-INGV||||ML|2.4|--|Costa Siciliana nord-occidentale (Trapani)|earthquake
25948131|2021-01-19T21:17:35.780000|38.2833|12.9187|5.1|BULLETIN-INGV||||ML|2.0|--|Costa Siciliana nord-occidentale (Trapani)|earthquake
25948581|2021-01-19T23:19:18.970000|37.7758|15.0387|22.5|BULLETIN-INGV||||ML|2.6|--|9 km NW Milo (CT)|earthquake
25948721|2021-01-19T23:44:25.700000|37.7473|14.8593|5.8|BULLETIN-INGV||||ML|2.0|--|5 km SE Bronte (CT)|earthquake
25949341|2021-01-20T04:14:47.080000|37.8195|15.0657|24.3|BULLETIN-INGV||||ML|2.5|--|7 km W Linguaglossa (CT)|earthquake
25950451|2021-01-20T09:22:59.120000|38.3868|15.3873|112.3|BULLETIN-INGV||||ML|2.1|--|Costa Siciliana nord-orientale (Messina)|earthquake
25952371|2021-01-20T16:20:07.950000|37.8813|15.1833|21.1|BULLETIN-INGV||||ML|2.1|--|2 km SE Motta Camastra (ME)|earthquake
25952421|2021-01-20T16:33:22.260000|37.8847|15.1998|23.3|BULLETIN-INGV||||ML|2.4|--|3 km W Graniti (ME)|earthquake
25959421|2021-01-22T03:41:53.950000|37.7702|15.0428|23.0|BULLETIN-INGV||||ML|2.4|--|8 km NW Milo (CT)|earthquake
25963771|2021-01-22T15:16:57.830000|37.7363|15.0032|7.6|BULLETIN-INGV||||ML|2.1|--|10 km W Zafferana Etnea (CT)|earthquake
25972731|2021-01-23T07:30:27.870000|38.4932|14.5098|7.3|BULLETIN-INGV||||ML|2.4|--|Isole Eolie (Messina)|earthquake
25979721|2021-01-24T03:05:01.580000|37.718|15.1822|18.1|BULLETIN-INGV||||ML|2.4|--|1 km S Giarre (CT)|earthquake
25979921|2021-01-24T03:43:54.380000|37.7243|15.1257|18.0|BULLETIN-INGV||||ML|2.1|--|1 km E Milo (CT)|earthquake
25980621|2021-01-24T08:02:46.220000|37.7343|15.1408|19.5|BULLETIN-INGV||||ML|2.1|--|1 km S Sant'Alfio (CT)|earthquake
25980681|2021-01-24T08:10:23.070000|37.7325|15.1837|18.9|BULLETIN-INGV||||ML|2.2|--|Giarre (CT)|earthquake
