#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
25917341|2021-01-12T00:27:47.780000|42.8988|12.9578|10.1|BULLETIN-INGV||||ML|2.1|--|3 km E Sellano (PG)|earthquake
25926361|2021-01-14T13:28:07.170000|43.4472|12.4708|7.4|BULLETIN-INGV||||ML|2.6|--|3 km E Pietralunga (PG)|earthquake
25931021|2021-01-15T18:50:34.980000|43.3117|13.0478|6.7|BULLETIN-INGV||||ML|2.0|--|5 km E Cerreto d'Esi (AN)|earthquake
25938961|2021-01-17T10:50:54.510000|42.4478|12.6878|9.8|BULLETIN-INGV||||ML|2.1|--|4 km NE Configni (RI)|earthquake
25954011|2021-01-21T04:06:55.270000|42.4408|13.2683|10.4|BULLETIN-INGV||||ML|2.5|--|2 km SW Barete (AQ)|earthquake
25955961|2021-01-21T11:16:42.410000|42.9022|13.1543|7.8|BULLETIN-INGV||||ML|2.1|--|1 km N Castelsantangelo sul Nera (MC)|earthquake
25964721|2021-01-22T17:09:32.830000|43.0213|13.0098|8.1|BULLETIN-INGV||||ML|2.4|--|3 km N Monte Cavallo (MC)|earthquake
25964921|2021-01-22T17:18:31.950000|43.0213|13.0108|7.8|BULLETIN-INGV||||ML|2.1|--|3 km N Monte Cavallo (MC)|earthquake
25967031|2021-01-22T19:34:07.780000|42.003|12.9142|9.8|BULLETIN-INGV||||ML|2.0|--|2 km SE Vicovaro (RM)|earthquake
25968461|2021-01-22T22:14:48.840000|42.8833|13.7788|28.6|BULLETIN-INGV||||ML|2.2|--|1 km SE Spinetoli (AP)|earthquake
25972101|2021-01-23T05:44:12.540000|42.6333|12.5847|6.8|BULLETIN-INGV||||ML|2.1|--|4 km NE San Gemini (TR)|earthquake
25997981|2021-01-26T15:28:58.520000|42.9427|13.7283|24.3|BULLETIN-INGV||||ML|2.2|--|3 km E Offida (AP)|earthquake
26002531|2021-01-27T21:46:06.210000|43.3583|13.8973|8.5|BULLETIN-INGV||||ML|3.5|--|Costa Marchigiana Fermana (Fermo)|earthquake
26002601|2021-01-27T22:04:45.210000|42.0063|12.9227|9.4|BULLETIN-INGV||||ML|2.4|--|2 km NW Sambuci (RM)|earthquake
26002851|2021-01-28T01:21:26.450000|43.3358|13.8997|6.9|BULLETIN-INGV||||ML|3.0|--|Costa Marchigiana Fermana (Fermo)|earthquake
26003941|2021-01-28T07:56:08.180000|42.0043|12.9232|9.5|BULLETIN-INGV||||ML|2.2|--|2 km NW Sambuci (RM)|earthquake
26009871|2021-01-29T09:05:55.730000|42.6178|13.3203|11.9|BULLETIN-INGV||||ML|2.1|--|3 km E Amatrice (RI)|earthquake
26014581|2021-01-29T21:08:14.670000|43.2323|12.8158|7.0|BULLETIN-INGV||||ML|2.2|--|2 km E Gualdo Tadino (PG)|earthquake
26020941|2021-01-31T06:55:21.940000|43.4122|13.4718|38.7|BULLETIN-INGV||||ML|2.0|--|3 km E Montefano (MC)|earthquake
