#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
25938771|2021-01-17T10:27:24.990000|45.5107|9.3913|48.6|BULLETIN-INGV||||ML|2.7|--|2 km NE Vignate (MI)|earthquake
25940731|2021-01-17T23:01:40.890000|45.222|10.789|15.1|BULLETIN-INGV||||ML|2.6|--|2 km E Marmirolo (MN)|earthquake
26009311|2021-01-29T07:20:08.880000|45.9605|12.9083|5.7|BULLETIN-INGV||||ML|2.1|--|5 km NW Camino al Tagliamento (UD)|earthquake
26028431|2021-02-02T17:36:54.100000|44.8095|9.8292|27.2|BULLETIN-INGV||||ML|2.5|--|1 km N Vernasca (PC)|earthquake
26031941|2021-02-03T15:26:50.400000|45.5763|10.4888|8.3|BULLETIN-INGV||||ML|2.0|--|2 km W Puegnago sul Garda (BS)|earthquake
26037261|2021-02-05T09:17:09.420000|44.7072|11.5448|32.8|BULLETIN-INGV||||ML|2.5|--|2 km SE Malalbergo (BO)|earthquake
26054301|2021-02-08T16:46:39.500000|45.2388|11.0597|11.6|BULLETIN-INGV||||ML|2.1|--|2 km W Salizzole (VR)|earthquake
26097471|2021-02-15T18:00:46.510000|44.6972|9.195|8.7|BULLETIN-INGV||||ML|2.2|--|7 km SE Fabbrica Curone (AL)|earthquake
26101701|2021-02-16T17:41:45.190000|45.6857|9.9878|8.6|BULLETIN-INGV||||ML|2.2|--|2 km E Viadanica (BG)|earthquake
26108821|2021-02-18T03:03:41.350000|44.8698|9.0422|9.4|BULLETIN-INGV||||ML|2.0|--|1 km SE Pozzol Groppo (AL)|earthquake
26114491|2021-02-19T13:26:12.110000|45.2197|11.4733|7.3|BULLETIN-INGV||||ML|2.0|--|2 km S Montagnana (PD)|earthquake
26124301|2021-02-22T12:04:06.180000|45.7822|10.9793|11.8|BULLETIN-INGV||||ML|3.5|--|3 km NW Ala (TN)|earthquake
26124521|2021-02-22T12:40:59.660000|45.7743|10.9898|9.7|BULLETIN-INGV||||ML|2.3|--|2 km NW Ala (TN)|earthquake
26124721|2021-02-22T13:30:06.840000|45.7698|10.9877|8.6|BULLETIN-INGV||||ML|2.3|--|2 km NW Ala (TN)|earthquake
26151021|2021-02-27T22:50:24.850000|44.9902|10.8938|25.0|BULLETIN-INGV||||ML|2.1|--|3 km E Pegognaga (MN)|earthquake
26163491|2021-03-02T13:18:44.730000|45.0112|11.1145|37.7|BULLETIN-INGV||||ML|2.4|--|1 km N Villa Poma (MN)|earthquake
26205911|2021-03-09T16:06:53.460000|44.6175|10.1268|22.3|BULLETIN-INGV||||ML|2.4|--|2 km N Calestano (PR)|earthquake
26305731|2021-03-24T21:03:40.280000|45.7755|10.5518|7.1|BULLETIN-INGV||||ML|2.5|--|2 km N Capovalle (BS)|earthquake
26374381|2021-04-03T15:13:36.960000|44.9128|11.0772|7.5|BULLETIN-INGV||||ML|2.3|--|3 km N Mirandola (MO)|earthquake
26379081|2021-04-04T13:58:12.710000|45.2892|11.6395|9.2|BULLETIN-INGV||||ML|2.7|--|1 km E Lozzo Atestino (PD)|earthquake
26410971|2021-04-07T13:41:08.780000|44.9082|11.259|10.4|BULLETIN-INGV||||ML|2.3|--|9 km NW Finale Emilia (MO)|earthquake
26411731|2021-04-07T16:22:44.870000|44.7193|11.708|26.0|BULLETIN-INGV||||ML|2.5|--|6 km SW Voghiera (FE)|earthquake
