#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
12565471|2017-01-12T00:45:49.660000|44.4247|10.6712|29.0|BULLETIN-INGV||||ML|2.3|--|2 km SW Prignano sulla Secchia (MO)|earthquake
12660181|2017-01-15T19:06:29.850000|44.5758|10.118|20.2|BULLETIN-INGV||||ML|2.3|--|3 km S Calestano (PR)|earthquake
13074171|2017-01-28T08:16:50.730000|44.8713|11.2927|7.6|BULLETIN-INGV||||ML|2.7|--|4 km N Finale Emilia (MO)|earthquake
13408631|2017-02-07T23:24:44.610000|44.5078|10.2312|23.6|BULLETIN-INGV||||ML|2.2|--|3 km SE Tizzano Val Parma (PR)|earthquake
13421961|2017-02-08T15:05:22.520000|44.5325|10.207|20.2|BULLETIN-INGV||||ML|2.9|--|1 km NE Tizzano Val Parma (PR)|earthquake
13665781|2017-02-18T10:56:21.250000|44.5785|10.071|23.1|BULLETIN-INGV||||ML|2.2|--|4 km SW Terenzo (PR)|earthquake
13918861|2017-03-02T10:52:12.110000|44.3277|11.0847|20.2|BULLETIN-INGV||||ML|2.0|--|5 km NW Vergato (BO)|earthquake
13920141|2017-03-02T12:22:47.190000|44.9273|11.3127|10.9|BULLETIN-INGV||||ML|2.1|--|7 km SW Felonica (MN)|earthquake
14000921|2017-03-06T04:45:35.740000|44.3017|11.076|19.9|BULLETIN-INGV||||ML|2.3|--|4 km NW Vergato (BO)|earthquake
14185231|2017-03-15T08:14:44.460000|44.5975|10.0338|9.5|BULLETIN-INGV||||ML|2.2|--|5 km W Terenzo (PR)|earthquake
14309891|2017-03-21T03:34:32.180000|44.4222|9.7347|9.8|BULLETIN-INGV||||ML|2.2|--|4 km SE Albareto (PR)|earthquake
14510281|2017-03-31T02:15:16.500000|44.5007|9.7438|11.1|BULLETIN-INGV||||ML|3.2|--|2 km NW Borgo Val di Taro (PR)|earthquake
14632411|2017-04-06T19:54:08.960000|44.8865|11.3657|8.0|BULLETIN-INGV||||ML|2.0|--|4 km W Bondeno (FE)|earthquake
14754101|2017-04-12T22:42:54.820000|44.8768|11.2808|10.0|BULLETIN-INGV||||ML|2.6|--|5 km N Finale Emilia (MO)|earthquake
